,Born in other state in the United States:,Never married,"Now married, except separated",Divorced,Separated,Widowed
2017,78632879,0.26966343175607244,0.5193421316800572,0.12697529490176748,0.017255504532652302,0.06676363712945065
2016,78177619,0.26945044207601154,0.5162297920585174,0.12869826593209496,0.017999729564544553,0.06762177036883152
2015,77563301,0.26920224810957954,0.5153576044939088,0.1291886094430148,0.018474742326915664,0.06777679562658119
2014,76916973,0.2657741224423899,0.5184806349568645,0.12877768863837113,0.018981207177770763,0.0679863467846037
2013,76619100,0.26521970370312364,0.517729652266863,0.12888846253740907,0.019463188682717496,0.06869899280988682
2012,76343190,0.26203170184531194,0.5187902156040375,0.13056568634347085,0.01983459166429907,0.06877780454288064
2011,75585108,0.2597263206926952,0.5215246500673122,0.12854803356237846,0.020136281342615796,0.07006471433499838
2010,75388598,0.25597791326481495,0.5264534300001176,0.12733477282599154,0.020446022885317484,0.06978786102375853
2009,75064954,0.25434581629131486,0.5313779583479129,0.12417357905794493,0.0201038556554634,0.06999879064736388
2008,74708069,0.2491076030890318,0.5349203979559424,0.12509161493653384,0.01974694326525827,0.07113344075323376
2007,74030989,0.24575886727651308,0.5392994547188881,0.12299770843261326,0.019607775333110842,0.07233619423887475
2006,73441878,0.24245308650740113,0.5407223655146727,0.12290840384010877,0.020429788029113306,0.07348635610870408
2005,70469387,0.21802552362205166,0.5722909438675833,0.1202193372279512,0.02000182008110841,0.06946237520130549
