,Born in state of residence:,Never married,"Now married, except separated",Divorced,Separated,Widowed
2017,138891844,0.40329783511262185,0.41923070731208667,0.10658179468047094,0.01732975767821183,0.05355990521660869
2016,137641353,0.4021562182696649,0.41733448377247495,0.10753907657388401,0.01817175540260782,0.05479846598136826
2015,137017071,0.39804932773668766,0.42024811638251997,0.10828314962301304,0.018498417616882205,0.054920988640897166
2014,136049599,0.39416726248491185,0.422953058465097,0.10840713319559288,0.01922914892237205,0.05524339693202624
2013,134752316,0.3903056107770348,0.42587742239621323,0.10813064615527647,0.019916741171261205,0.05576957950021431
2012,133506576,0.38574117877159847,0.42814899994139616,0.10949696590226388,0.020396763077797756,0.056216092306943743
2011,132427242,0.3816849934849508,0.4326694125367347,0.1082299214537746,0.020516798197760547,0.056898874326779376
2010,130997765,0.376055217430618,0.43804934381895755,0.10780638891052836,0.020443730471279415,0.05764531936861671
2009,129932714,0.37318289988154946,0.4431291106564587,0.10479236199129958,0.020285961239907602,0.05860966623078465
2008,128766916,0.3666243586978506,0.4487808110586418,0.1051340314774643,0.019898651607063417,0.059562147158979874
2007,127394521,0.3596218945711174,0.45460353824792826,0.10451614320210835,0.020317938163133407,0.06094048581571259
2006,126481856,0.3560779184011974,0.45678611009629716,0.10439262529480908,0.02089637267814919,0.0618469735295472
2005,120747052,0.3311093094016076,0.4884241563098369,0.10152224668805993,0.02036291536127938,0.058581372239216244
