,Foreign born:,Never married,"Now married, except separated",Divorced,Separated,Widowed
2017,42722544,0.23964485822754375,0.5969354727564913,0.08206515042737156,0.02854179282956558,0.05281272575902783
2016,41993890,0.24596849684561253,0.5909259180323614,0.08173915300535388,0.028829003457407732,0.05253742865926448
2015,41607716,0.2491420581701721,0.5865733894165207,0.08086428007728182,0.03002875716609871,0.05339151516992666
2014,40687887,0.25151573980727976,0.5844560323321779,0.08010742853272278,0.030276627537822252,0.05364417178999735
2013,39649349,0.25163232818778436,0.5857841701259711,0.07921383526372652,0.03081798392200588,0.052551682500512176
2012,39071136,0.25204747054193666,0.5855437118593122,0.07838443704324338,0.0314033612946396,0.05262101926086818
2011,38592072,0.25592468836604576,0.5830005188630453,0.07682671197338148,0.03234713596098183,0.051900944836545705
2010,37982063,0.258188371705876,0.5845453681649677,0.07525354797078822,0.03052438199578575,0.05148833016258227
2009,36555983,0.2515491376609952,0.5921025567825655,0.07356005171574787,0.03057102855092147,0.05221722528976994
2008,35961415,0.2477395007955054,0.5968022114813891,0.07251024466083995,0.029323317783796883,0.0536247252784686
2007,35961679,0.2489084561374345,0.598713480535767,0.06910022193346423,0.031552086319440203,0.05172575507389408
2006,35377624,0.25085794342774403,0.5977225039194266,0.06830356951049059,0.03211962454007652,0.050996358602262266
2005,33488516,0.23424152327323194,0.6191265985032003,0.06664212890174052,0.0316724395909332,0.048317309730894015
