,GEOID,mar_rate,div_rate,county,lat,long
0,1001,56.1,11.4,"Autauga County, Alabama",32.536382,-86.64449
1,1003,52.8,12.7,"Baldwin County, Alabama",30.659218,-87.746067
2,1005,41.2,12.5,"Barbour County, Alabama",31.87067,-85.405456
3,1007,47.6,11.7,"Bibb County, Alabama",33.015893,-87.127148
4,1009,59.2,11.1,"Blount County, Alabama",33.977448,-86.567246
5,1011,29.5,12.9,"Bullock County, Alabama",32.101759,-85.717261
6,1013,43.6,11.3,"Butler County, Alabama",31.751667,-86.681969
7,1015,48.6,13.6,"Calhoun County, Alabama",33.771706,-85.822513
8,1017,45.4,13.1,"Chambers County, Alabama",32.917943,-85.391812
9,1019,61.3,11.6,"Cherokee County, Alabama",34.069515,-85.654242
10,1021,53.3,12.0,"Chilton County, Alabama",32.85406,-86.726628
11,1023,47.7,12.4,"Choctaw County, Alabama",31.991008,-88.248887
12,1025,47.6,9.1,"Clarke County, Alabama",31.685521,-87.818624
13,1027,53.6,11.9,"Clay County, Alabama",33.267809,-85.862051
14,1029,55.7,12.7,"Cleburne County, Alabama",33.671981,-85.516109
15,1031,51.1,13.5,"Coffee County, Alabama",31.402183,-85.989201
16,1033,51.4,14.2,"Colbert County, Alabama",34.703112,-87.801457
17,1035,47.2,8.9,"Conecuh County, Alabama",31.428293,-86.992029
18,1037,43.5,14.4,"Coosa County, Alabama",32.931445,-86.243482
19,1039,52.1,13.4,"Covington County, Alabama",31.243987,-86.448721
20,1041,49.0,12.4,"Crenshaw County, Alabama",31.732826,-86.319222
21,1043,56.6,13.6,"Cullman County, Alabama",34.131923,-86.869267
22,1045,49.5,14.1,"Dale County, Alabama",31.430654,-85.609476
23,1047,34.6,11.4,"Dallas County, Alabama",32.33354,-87.114356
24,1049,52.0,12.5,"DeKalb County, Alabama",34.460929,-85.803992
25,1051,50.9,12.3,"Elmore County, Alabama",32.597229,-86.142739
26,1053,43.6,12.2,"Escambia County, Alabama",31.121748,-87.168429
27,1055,49.1,14.0,"Etowah County, Alabama",34.047638,-86.03442
28,1057,53.0,12.4,"Fayette County, Alabama",33.732249,-87.752049
29,1059,50.6,13.9,"Franklin County, Alabama",34.441988,-87.842815
30,1061,52.2,12.4,"Geneva County, Alabama",31.090866,-85.824346
31,1063,32.8,12.7,"Greene County, Alabama",32.844497,-87.964201
32,1065,41.5,10.4,"Hale County, Alabama",32.752796,-87.623061
33,1067,54.7,10.8,"Henry County, Alabama",31.516978,-85.239971
34,1069,46.0,14.2,"Houston County, Alabama",31.158193,-85.296398
35,1071,54.3,12.2,"Jackson County, Alabama",34.763522,-85.9774
36,1073,43.3,13.1,"Jefferson County, Alabama",33.553444,-86.896536
37,1075,59.0,11.8,"Lamar County, Alabama",33.787085,-88.087431
38,1077,51.8,12.4,"Lauderdale County, Alabama",34.904122,-87.650997
39,1079,55.5,12.6,"Lawrence County, Alabama",34.529776,-87.321865
40,1081,43.3,10.2,"Lee County, Alabama",32.604064,-85.353048
41,1083,52.6,12.1,"Limestone County, Alabama",34.810239,-86.9814
42,1085,33.5,11.8,"Lowndes County, Alabama",32.147888,-86.650586
43,1087,30.5,11.2,"Macon County, Alabama",32.387027,-85.692887
44,1089,49.7,11.9,"Madison County, Alabama",34.764238,-86.55108
45,1091,40.5,13.0,"Marengo County, Alabama",32.247591,-87.791091
46,1093,56.9,10.4,"Marion County, Alabama",34.138219,-87.881551
47,1095,52.4,13.1,"Marshall County, Alabama",34.309564,-86.321668
48,1097,44.7,13.0,"Mobile County, Alabama",30.684573,-88.196568
49,1099,43.5,11.3,"Monroe County, Alabama",31.580332,-87.383266
50,1101,39.9,12.5,"Montgomery County, Alabama",32.203651,-86.203831
51,1103,52.0,13.2,"Morgan County, Alabama",34.454484,-86.846402
52,1105,24.2,12.0,"Perry County, Alabama",32.639005,-87.293827
53,1107,43.1,12.4,"Pickens County, Alabama",33.296809,-88.096878
54,1109,37.7,10.6,"Pike County, Alabama",31.798726,-85.941997
55,1111,52.7,12.6,"Randolph County, Alabama",33.296475,-85.464068
56,1113,43.3,13.2,"Russell County, Alabama",32.289811,-85.18698
57,1115,55.6,13.6,"St. Clair County, Alabama",33.712963,-86.315663
58,1117,57.0,11.1,"Shelby County, Alabama",33.262937,-86.678104
59,1119,29.1,12.8,"Sumter County, Alabama",32.597481,-88.200057
60,1121,47.4,12.7,"Talladega County, Alabama",33.369277,-86.175805
61,1123,50.3,12.3,"Tallapoosa County, Alabama",32.863369,-85.799553
62,1125,42.2,9.7,"Tuscaloosa County, Alabama",33.290202,-87.52286
63,1127,52.0,14.1,"Walker County, Alabama",33.791571,-87.301092
