,year,date,all_2534,HS,SC,BAp_2534,Bao,GD_2534,White_2534,Black_2534,Hisp_2534,NE_2534,MA_2534,Midwest_2534,South_2534,Mountain_2534,Pacific_2534,age,poor,mid,rich,all_3544,HS_3544,SC_3544,BAp_3544,BAo_3544,GD_3544,White_3544,Black_3544,Hisp_3544,NE_3544,MA_3544,Midwest_3544,South_3544,Mountain_3544,Pacific_3544,poor_3544,mid_3544,rich_3544,all_4554,HS_4554,SC_4554,BAp_4554,BAo_4554,GD_4554,White_4554,Black_4554,Hisp_4554,NE_4554,MA_4554,Midwest_4554,South_4554,Mountain_4554,Pacific_4554,poor_4554,mid_4554,rich_4554,edu,work_2534,nowork_2534,work_edu,work_SC_2534,work_BAp_2534,work_BAo_2534,work_GD_2534,nowork_edu,nowork_SC_2534,nowork_BAp_2534,nowork_BAo_2534,nowork_GD_2534,work_White_2534,work_Black_2534,work_Hisp_2534,nowork_White_2534,nowork_Black_2534,nowork_Hisp_2534,work_poor_2534,work_mid_2534,work_rich_2534,nowork_poor_2534,nowork_mid_2534,nowork_rich_2534,nokids_all_2534,kids_all_2534,nokids_HS_2534,nokids_SC_2534,nokids_BAp_2534,nokids_BAo_2534,nokids_GD_2534,kids_HS_2534,kids_SC_2534,kids_BAp_2534,kids_BAo_2534,kids_GD_2534,nokids_poor_2534,nokids_mid_2534,nokids_rich_2534,kids_poor_2534,kids_mid_2534,kids_rich_2534
1,1960,1/1/1960,0.837544766,0.849934621,0.815519614,0.775219709,0.775219709,NA,0.84538158,0.796192061,0.821832786,0.809489425,0.796475386,0.849599843,0.856673674,0.874639518,0.827600253,2354,0.830873247,0.901468888,0.716772367,0.917565213,0.913695699,0.937581373,0.908935727,0.908935727,NA,0.92128288,0.889561731,0.911687172,0.903021046,0.897633206,0.916853224,0.929568287,0.940081444,0.923387467,0.879983981,0.948331796,0.893747252,0.925769376,0.923338815,0.94382953,0.917465171,0.917465171,NA,0.927500791,0.920027094,0.923729979,0.907042584,0.911345634,0.923781118,0.938457169,0.944889302,0.927941086,0.880770191,0.95332791,0.917195624,HS,0.882917814,0.733328468,0.893818928,0.867186002,0.826131408,0.826131408,NA,0.759846777,0.640455447,0.653924997,0.653924997,NA,0.886351398,0.859216424,0.885962425,0.737836184,0.729589811,0.725598446,0.891533074,0.927326533,0.785307807,0.766369473,0.816547486,0.518910635,0.504678934,0.998034961,0.521464029,0.477505852,0.442285225,0.442285225,NA,0.997653561,0.998884002,0.999761228,0.999761228,NA,0.475161989,0.566500648,0.470540782,0.995979752,0.998836663,0.998456724
2,1970,1/1/1970,0.844590729,0.858776938,0.827679044,0.800923181,0.800923181,NA,0.852739002,0.79146435,0.851110302,0.818814815,0.80690896,0.858986308,0.862152202,0.87092883,0.821454409,2354,0.809795117,0.90151919,0.765435236,0.921289608,0.918571911,0.932393787,0.915082708,0.915082708,NA,0.926485222,0.878167549,0.927504209,0.904389705,0.897933535,0.928145067,0.929150472,0.946325351,0.920721141,0.874837621,0.948575199,0.917994868,0.935271419,0.931366188,0.951394244,0.93585044,0.93585044,NA,0.938087213,0.908062751,0.941628959,0.920862225,0.919731201,0.935375277,0.943404569,0.956828194,0.942264764,0.879450534,0.959425611,0.943314504,HS,0.887569856,0.722083892,0.898960749,0.874392675,0.850194429,0.850194429,NA,0.747783765,0.660716757,0.703418696,0.703418696,NA,0.892060057,0.8504009,0.895865237,0.726268904,0.700971922,0.766622865,0.872516511,0.921753126,0.826377665,0.72053662,0.816767502,0.566979092,0.55817841,0.996907603,0.557051946,0.559708437,0.559474672,0.559474672,NA,0.995729612,0.99908241,0.999614019,0.999614019,NA,0.479595978,0.630192984,0.540527035,0.993067374,0.998260025,0.998070296
3,1980,1/1/1980,0.762699761,0.791850045,0.743560718,0.71658382,0.71658382,NA,0.776487319,0.666351247,0.779671275,0.717877381,0.710332036,0.782785025,0.798590562,0.782182548,0.713678939,2354,0.648711075,0.826019634,0.750090639,0.922837113,0.922083831,0.928867927,0.912968116,0.912968116,NA,0.930405569,0.865366912,0.912920606,0.912260331,0.896146752,0.932474116,0.934397325,0.940296631,0.907484056,0.85729596,0.946738842,0.941136632,0.940542448,0.938131427,0.948923265,0.935907608,0.935907608,NA,0.945004079,0.904479277,0.933700682,0.926323413,0.919853896,0.943853291,0.949253799,0.95989897,0.938877624,0.878174,0.961757565,0.960482809,HS,0.812840912,0.656928086,0.845473139,0.793129432,0.77053223,0.77053223,NA,0.701104051,0.609555676,0.593894542,0.593894542,NA,0.820412546,0.746327188,0.825737709,0.668671944,0.57718077,0.71684048,0.698148363,0.844411029,0.818341606,0.607888779,0.768822706,0.547459302,0.531958835,0.993577785,0.540094502,0.526887411,0.524399667,0.524399667,NA,0.991573164,0.995158734,0.997954966,0.997954966,NA,0.412298455,0.593343048,0.563681177,0.981498029,0.996330942,0.997863422
4,1990,1/1/1990,0.650805038,0.66053205,0.667079639,0.609752995,0.596672697,0.646960539,0.67855245,0.493864035,0.653567553,0.594837974,0.584683702,0.675340382,0.689339349,0.69066843,0.604015928,2354,0.531840395,0.718917394,0.637186023,0.873008551,0.861898057,0.887022782,0.873823643,0.868099082,0.882451778,0.885869135,0.775504281,0.867127397,0.857002929,0.843072145,0.886566183,0.891124459,0.888657409,0.843913908,0.771311433,0.904501996,0.912110408,0.935024658,0.927942005,0.948962745,0.935815124,0.936301721,0.935281999,0.942040322,0.882083626,0.921262426,0.925363318,0.91279797,0.941683398,0.944560776,0.947987489,0.924962575,0.866927341,0.956428466,0.961352584,HS,0.704825463,0.538695083,0.72929184,0.71559234,0.651335973,0.638424861,0.690339822,0.557075214,0.53747489,0.474682384,0.451698114,0.529040717,0.721042761,0.588774425,0.701410614,0.566527395,0.395064269,0.596794474,0.558706549,0.74519573,0.713999903,0.509426948,0.633079313,0.440014473,0.424632638,0.974570911,0.417936366,0.439401628,0.420193637,0.407386205,0.458170272,0.963544187,0.982585073,0.99303734,0.99205113,0.995622908,0.324194645,0.465001191,0.464239033,0.930798625,0.984800419,0.991054347
5,2000,1/1/2000,0.608086983,0.62028718,0.622139266,0.570951545,0.556599927,0.611214949,0.630743596,0.497313463,0.634320032,0.536707775,0.534306621,0.620702359,0.648773548,0.642669195,0.571335043,2354,0.457270635,0.658226575,0.661886701,0.821554849,0.80085741,0.838870836,0.839499951,0.830607096,0.855300983,0.839418626,0.704155979,0.824926911,0.804418936,0.791510281,0.832920576,0.838430844,0.836348887,0.795281105,0.684756119,0.858900585,0.88708215,0.903195806,0.887142615,0.914135772,0.913505284,0.907314663,0.921914002,0.912339681,0.82837419,0.900356039,0.89123112,0.881737267,0.909039389,0.916141285,0.909342301,0.886803292,0.799638061,0.930300123,0.952597989,HS,0.649481683,0.522848834,0.668301013,0.663536723,0.608673599,0.594160364,0.652718996,0.552110869,0.508158806,0.45281994,0.428460876,0.507151634,0.668395373,0.547860852,0.657586387,0.52109437,0.439892655,0.606740293,0.471372935,0.678743363,0.704997379,0.445172386,0.591476117,0.558463833,0.402342159,0.942179346,0.407745376,0.399882702,0.396734915,0.379710898,0.445251263,0.920081008,0.952702022,0.980527753,0.978240746,0.986714294,0.277564609,0.413287032,0.513310213,0.857740235,0.958709666,0.979363556
6,2001,1/1/2001,0.600259822,0.606835718,0.614845621,0.57448632,0.557359977,0.621061654,0.624004047,0.463145619,0.620288106,0.518987314,0.522763255,0.620013309,0.639973941,0.642375675,0.560528003,2354,0.439161877,0.640291884,0.682146275,0.82306253,0.804928326,0.837658729,0.839000939,0.832849678,0.850324278,0.837823803,0.702558899,0.836642698,0.81551233,0.796305952,0.832869451,0.84144904,0.832537045,0.792100132,0.673181586,0.85390008,0.911461911,0.905391648,0.894496599,0.914333876,0.911176009,0.905349315,0.919542283,0.914108256,0.832348663,0.902268633,0.895473126,0.885806385,0.909994157,0.916380557,0.91618309,0.890623551,0.800674024,0.927553231,0.967647713,HS,0.638726909,0.50132066,0.650224445,0.653036911,0.607435784,0.592402482,0.651193121,0.515533698,0.500792491,0.471496391,0.439220901,0.543357583,0.658777644,0.508136125,0.650886333,0.521417717,0.379861456,0.548639711,0.461740563,0.657142009,0.717514679,0.414963879,0.581161272,0.533986903,0.378369859,0.944532437,0.35982608,0.38436533,0.397117412,0.375691687,0.456197121,0.923591919,0.953589171,0.980526178,0.97835999,0.986235285,0.264630863,0.390963645,0.489640698,0.862469567,0.957903556,0.975649296
7,2002,1/1/2002,0.603035315,0.604529967,0.618576183,0.584719048,0.570444722,0.623712899,0.627851435,0.465124144,0.620472917,0.543039176,0.528060846,0.619069859,0.636130896,0.649821449,0.568811182,2354,0.445206943,0.640354821,0.686558597,0.819545225,0.805752166,0.829347001,0.832407223,0.824246735,0.847745956,0.83558954,0.71196937,0.815558937,0.788653946,0.791153207,0.828064371,0.840727958,0.838012291,0.789327429,0.674275607,0.84674063,0.910976676,0.898863259,0.887992576,0.905175311,0.907274614,0.902368271,0.914417463,0.906702704,0.817351271,0.911811098,0.883327289,0.877224857,0.903564597,0.912213057,0.916499836,0.87940523,0.785580313,0.92286848,0.965078613,HS,0.642820102,0.510387639,0.643450112,0.658805085,0.625671248,0.612978903,0.661787667,0.529275564,0.510106607,0.471350693,0.447742549,0.52917242,0.665988699,0.514279058,0.650593717,0.528440884,0.381099671,0.553900753,0.467296073,0.657675818,0.722987882,0.423879076,0.58719323,0.541740852,0.379039951,0.94418007,0.355273328,0.388084099,0.402597363,0.386078006,0.448574553,0.923564545,0.949473027,0.983868306,0.981009768,0.99136817,0.264553042,0.391665057,0.488443625,0.852965089,0.95934712,0.980907308
8,2003,1/1/2003,0.592670254,0.596699904,0.605336755,0.573417508,0.552120945,0.633423221,0.619711543,0.443265773,0.613773475,0.532740392,0.499380116,0.607874499,0.63388335,0.644497677,0.551979881,2354,0.428581902,0.628223954,0.685664401,0.819129983,0.804423136,0.82692604,0.834910587,0.825779067,0.851505189,0.835931907,0.694014965,0.832092649,0.799603767,0.786568118,0.830196986,0.835287826,0.845733722,0.79379768,0.675323167,0.846034173,0.911513833,0.895205763,0.882608189,0.902264102,0.905523299,0.896141362,0.919135084,0.904875625,0.811641154,0.897081473,0.891358457,0.872308639,0.903446518,0.90560201,0.908929121,0.876553464,0.775681242,0.919910295,0.965681927,HS,0.634100052,0.495581749,0.640597259,0.651453489,0.607874546,0.585647714,0.675194339,0.512367083,0.483958012,0.472586897,0.446435445,0.532996892,0.656588089,0.517034744,0.638653517,0.521387985,0.329877699,0.55617172,0.456234053,0.643492267,0.724163102,0.402714319,0.579254821,0.535737676,0.370201512,0.939995688,0.34932121,0.376258216,0.392074232,0.372785899,0.450006704,0.920726151,0.943903421,0.97751044,0.973806956,0.986619887,0.250913015,0.381904017,0.488705368,0.855223563,0.95037768,0.979704354
9,2004,1/1/2004,0.589333326,0.588498979,0.60579703,0.57392694,0.552405021,0.631309043,0.615645908,0.433411192,0.607789986,0.498556958,0.505288088,0.606012018,0.629115089,0.633369746,0.551275419,2354,0.431891789,0.623472471,0.681854212,0.812621992,0.792185933,0.826200504,0.831550958,0.819197134,0.854188238,0.830683873,0.697027774,0.812311024,0.790193234,0.786203999,0.82916641,0.825586505,0.819197956,0.79005109,0.656903249,0.841531989,0.911798497,0.89104091,0.879229486,0.901431851,0.897721541,0.890677593,0.908584222,0.900093181,0.806690984,0.899216136,0.878515915,0.872493579,0.894812233,0.90526933,0.895688281,0.872688449,0.772761747,0.913914342,0.964230751,HS,0.629905395,0.49651664,0.631336652,0.646521112,0.611532155,0.589102805,0.674301483,0.509299916,0.499906039,0.465401457,0.440910815,0.522497101,0.652412578,0.492116629,0.63169171,0.522019822,0.341558105,0.55198191,0.448176109,0.640188855,0.724186992,0.416617466,0.571857894,0.520055318,0.368235177,0.935669877,0.347153503,0.369711613,0.394352133,0.373719672,0.452486778,0.909857755,0.948744152,0.974377878,0.970674977,0.983147482,0.261007623,0.378318773,0.480123494,0.843616684,0.949020926,0.975206882
10,2005,1/1/2005,0.576792829,0.569854078,0.591255849,0.572944109,0.549753467,0.636657853,0.601777662,0.433118681,0.596375668,0.502671438,0.490216708,0.592042425,0.614152346,0.613659714,0.545569813,2354,0.41584907,0.60939859,0.673910996,0.811266377,0.789689838,0.822076173,0.834189941,0.821758291,0.856533338,0.826834818,0.696336121,0.817074306,0.793512631,0.782049328,0.825949042,0.827882393,0.818270981,0.78309251,0.657964926,0.836979406,0.9134723,0.88406327,0.868671836,0.893118162,0.897739505,0.890262609,0.908979219,0.893727429,0.800182416,0.889485013,0.879668022,0.863879489,0.888671514,0.894885058,0.893391103,0.868574561,0.7543166,0.909119662,0.964788668,HS,0.620522559,0.478344964,0.623829165,0.631669548,0.604445962,0.582691666,0.66802561,0.473266683,0.485392507,0.481964349,0.448315057,0.560002365,0.642295944,0.49024144,0.62635973,0.498241284,0.346706707,0.529802264,0.437325696,0.627380667,0.719619532,0.396486546,0.55401065,0.505405587,0.358708386,0.929575782,0.334638794,0.358504854,0.392100555,0.368580091,0.460253657,0.899520927,0.942459837,0.978418063,0.975042077,0.986686934,0.249126483,0.3703434,0.468480183,0.825770193,0.942383979,0.978228849
