,year,date,all_2534,HS,SC,age,,BAp_2534,Bao,GD_2534,White_2534,Black_2534,Hisp_2534,NE_2534,MA_2534,Midwest_2534,South_2534,Mountain_2534,Pacific_2534,poor,mid,rich,all_3544,HS_3544,SC_3544,BAp_3544,BAo_3544,GD_3544,White_3544,Black_3544,Hisp_3544,NE_3544,MA_3544,Midwest_3544,South_3544,Mountain_3544,Pacific_3544,poor_3544,mid_3544,rich_3544,all_4554,HS_4554,SC_4554,BAp_4554,BAo_4554,GD_4554,White_4554,Black_4554,Hisp_4554,NE_4554,MA_4554,Midwest_4554,South_4554,Mountain_4554,Pacific_4554,poor_4554,mid_4554,rich_4554,edu,work_2534,nowork_2534,work_edu,work_SC_2534,work_BAp_2534,work_BAo_2534,work_GD_2534,nowork_edu,nowork_SC_2534,nowork_BAp_2534,nowork_BAo_2534,nowork_GD_2534,work_White_2534,work_Black_2534,work_Hisp_2534,nowork_White_2534,nowork_Black_2534,nowork_Hisp_2534,work_poor_2534,work_mid_2534,work_rich_2534,nowork_poor_2534,nowork_mid_2534,nowork_rich_2534,nokids_all_2534,kids_all_2534,nokids_HS_2534,nokids_SC_2534,nokids_BAp_2534,nokids_BAo_2534,nokids_GD_2534,kids_HS_2534,kids_SC_2534,kids_BAp_2534,kids_BAo_2534,kids_GD_2534,nokids_poor_2534,nokids_mid_2534,nokids_rich_2534,kids_poor_2534,kids_mid_2534,kids_rich_2534
1,1960,1/1/1960,0.914058259,0.924980025,0.885371887,2354,,0.711777778,0.711777778,NA,0.920422922,0.872722601,0.900788686,0.888837433,0.874614474,0.92491816,0.922880475,0.94183199,0.933248558,0.888720873,0.946954926,0.870808108,0.940648031,0.946991674,0.928769623,0.751608238,0.751608238,NA,0.94170425,0.930870051,0.942678147,0.912798085,0.914670594,0.945304413,0.949294295,0.964886922,0.959821432,0.91420339,0.95669337,0.934685356,0.929083502,0.939492637,0.900496929,0.715376065,0.715376065,NA,0.927564345,0.940792387,0.943804163,0.888941533,0.903584578,0.930451427,0.941910348,0.960421071,0.952381673,0.913615042,0.939183251,0.924570502,HS,0.745611245,0.94946406,0.774884417,0.658435904,0.522415622,0.522415622,NA,0.955462599,0.937811885,0.775359833,0.775359833,NA,0.738015479,0.802145782,0.719372404,0.957605825,0.891798147,0.933782489,0.696205615,0.770391852,0.745218724,0.91919064,0.975148244,0.922024501,0.584481214,0.996490329,0.608226042,0.537511993,0.426404749,0.426404749,NA,0.995981912,0.998814162,0.998031535,0.998031535,NA,0.547722778,0.625443828,0.572692806,0.986924408,0.999550116,0.999743561
2,1970,1/1/1970,0.900021641,0.916920977,0.874840564,2354,,0.729990037,0.729990037,NA,0.910616259,0.833132052,0.887307724,0.876322098,0.862349062,0.909067234,0.911321701,0.921662125,0.903099333,0.848008143,0.933539241,0.886382385,0.943381693,0.948451605,0.942679354,0.814145439,0.814145439,NA,0.948044112,0.912499519,0.930989843,0.923705314,0.920304659,0.948213164,0.950728395,0.960403933,0.951932139,0.902486559,0.960064142,0.951324278,0.944977324,0.95048662,0.939261889,0.808430324,0.808430324,NA,0.946513524,0.932103453,0.942151206,0.918652886,0.922886452,0.94839365,0.95268502,0.963618486,0.960753381,0.913502806,0.956428056,0.954018954,HS,0.788731436,0.933508052,0.824756,0.719422555,0.604349645,0.604349645,NA,0.943742776,0.924950892,0.775218308,0.775218308,NA,0.790776441,0.791812049,0.752780154,0.945227475,0.850561743,0.919340055,0.684370883,0.815068493,0.816958017,0.885719708,0.964240841,0.920207621,0.58601862,0.984798817,0.602840493,0.576790263,0.512396694,0.512396694,NA,0.981907071,0.993765811,0.995088409,0.995088409,NA,0.513097471,0.613673279,0.617007287,0.952873749,0.994875086,0.996159428
3,1980,1/1/1980,0.838026668,0.877505815,0.810704148,2354,,0.704751995,0.704751995,NA,0.8585364,0.70327765,0.843020957,0.797454496,0.785873313,0.850821665,0.8628193,0.870228074,0.820147565,0.7264303,0.873055472,0.879909556,0.939149317,0.946936996,0.94063755,0.857315158,0.857315158,NA,0.950068347,0.871249495,0.924442153,0.927451259,0.908424474,0.945847761,0.94701914,0.962067345,0.941521707,0.883524951,0.951914082,0.969275607,0.953933173,0.959000361,0.954954955,0.867455665,0.867455665,NA,0.959294165,0.921138598,0.935751295,0.93476663,0.929447911,0.959498623,0.960546188,0.972412495,0.961476259,0.91821516,0.962191554,0.973140846,HS,0.770078099,0.878616642,0.829623968,0.732884224,0.629106742,0.629106742,NA,0.901311688,0.8688292,0.755031791,0.755031791,NA,0.779957626,0.704266874,0.783354783,0.906292083,0.702626162,0.867981246,0.619981456,0.770754625,0.856284143,0.766846796,0.933845731,0.901345986,0.585750975,0.961026733,0.614581404,0.580392557,0.533203456,0.533203456,NA,0.953776804,0.970909487,0.98700439,0.98700439,NA,0.451107119,0.601498633,0.69403972,0.884370085,0.982599388,0.989863808
4,1990,1/1/1990,0.755518567,0.788715265,0.770365596,2354,,0.668061256,0.670529899,0.659272262,0.794099262,0.535930652,0.759356127,0.704475775,0.689476347,0.772817286,0.782132603,0.805237673,0.736228638,0.620084395,0.793596773,0.814798568,0.902837291,0.910811685,0.918235978,0.86869524,0.880949458,0.84731096,0.921911051,0.783671495,0.889062428,0.886961851,0.869204372,0.910103262,0.91571261,0.927694931,0.893659901,0.823273206,0.915704879,0.956691578,0.945759964,0.950214626,0.957609746,0.914636178,0.935260243,0.884470228,0.955905328,0.885272098,0.926320159,0.933489434,0.919468554,0.950136556,0.954302613,0.962657599,0.945729262,0.902260154,0.952355984,0.976072048,HS,0.715399361,0.792793555,0.777062183,0.731988088,0.607255971,0.604918982,0.616107875,0.796346267,0.815374973,0.748081903,0.759591383,0.710194047,0.738415365,0.564504915,0.721299261,0.85183582,0.513147127,0.780360032,0.536643067,0.716015587,0.800814184,0.654066365,0.877463423,0.835616413,0.506744237,0.916143652,0.527838873,0.524627712,0.470419941,0.468384884,0.477270758,0.8933436,0.926971087,0.974184496,0.973865743,0.975426672,0.381839159,0.501173928,0.621922562,0.770650901,0.960597632,0.975904989
5,2000,1/1/2000,0.702438939,0.726205888,0.722581661,2354,,0.649393977,0.649719832,0.648463296,0.744356412,0.474895886,0.736342103,0.642992572,0.628966433,0.718204517,0.731561235,0.748474453,0.680895385,0.527430237,0.74103252,0.803302411,0.866009149,0.862316584,0.881575919,0.852092673,0.86070107,0.833269442,0.896436633,0.691825756,0.866728593,0.848034839,0.831407153,0.876050434,0.876548674,0.892556598,0.855464053,0.751716376,0.886247454,0.941320788,0.920378448,0.922325761,0.933737054,0.901728827,0.910878783,0.888649125,0.935897182,0.820521944,0.911147056,0.903858329,0.89253548,0.924706575,0.930863336,0.937680856,0.914901791,0.853691917,0.929262181,0.969450848,HS,0.667622873,0.738409038,0.708068429,0.691614807,0.606128308,0.603268256,0.614860061,0.738382531,0.762593735,0.71045064,0.718026821,0.690686334,0.702368078,0.484148376,0.687158746,0.796523691,0.465508653,0.763920394,0.439812396,0.665878611,0.793046814,0.568907008,0.83328069,0.819506551,0.467567312,0.872819631,0.476762607,0.472922248,0.457875919,0.449231179,0.480571172,0.838559323,0.873261922,0.951041401,0.947986152,0.961080573,0.318744504,0.459176788,0.620815443,0.683746685,0.923162748,0.964421156
6,2001,1/1/2001,0.693292535,0.710575824,0.711518052,2354,,0.653212267,0.651250611,0.658633495,0.73899249,0.45075283,0.720647918,0.638524327,0.61607291,0.710226453,0.722050531,0.740254606,0.67157986,0.51781367,0.722912527,0.809758393,0.863349905,0.859349955,0.87873165,0.851201975,0.860899502,0.829606203,0.896011711,0.682403397,0.864844558,0.850382957,0.836308547,0.870637216,0.871546345,0.88824301,0.854013878,0.74136995,0.880332616,0.951976582,0.917810892,0.920309337,0.9290069,0.90180807,0.908453663,0.891585768,0.935295501,0.807304868,0.909389194,0.906874676,0.894757819,0.925605603,0.925569668,0.935532788,0.90667327,0.843922813,0.925740109,0.97585402,HS,0.646695057,0.744788434,0.674836948,0.671793865,0.594576069,0.588923246,0.611002127,0.739164857,0.764253169,0.7337159,0.739546611,0.718646954,0.690593556,0.444731695,0.668629036,0.797701373,0.459246682,0.758447816,0.428743492,0.641108113,0.780958407,0.565833101,0.829877475,0.856062226,0.467092565,0.853856937,0.471568801,0.468713144,0.463348135,0.452414347,0.491093789,0.81245253,0.853479696,0.946119283,0.940590261,0.963674265,0.319850449,0.443481279,0.636111089,0.651419535,0.907297604,0.959225927
7,2002,1/1/2002,0.689260909,0.705917773,0.703295588,2354,,0.6552947,0.649793497,0.670093536,0.732458227,0.455176742,0.72298436,0.639501012,0.611116479,0.701255548,0.716448739,0.759480489,0.665218736,0.510827976,0.720712341,0.805494786,0.860348093,0.856481062,0.875224592,0.848860867,0.854824137,0.835727948,0.895381858,0.673066693,0.856466491,0.85145615,0.820389815,0.875684879,0.869356478,0.893732637,0.8448327,0.738012061,0.879405119,0.945325627,0.915046955,0.917914556,0.927594008,0.896994704,0.906933466,0.881855452,0.933361926,0.803698361,0.90119057,0.88824826,0.891667347,0.923256034,0.923331798,0.934544306,0.906595654,0.844986684,0.921072908,0.973121653,HS,0.648797609,0.730865559,0.679300795,0.665420923,0.604746739,0.595518302,0.631074995,0.725491339,0.750088043,0.71939771,0.721125819,0.715073305,0.688388163,0.457619838,0.680201848,0.782109964,0.452261008,0.754734315,0.416657965,0.641337285,0.785724073,0.555271716,0.818160708,0.835867209,0.465161187,0.846859879,0.463051114,0.466172242,0.46578263,0.45347177,0.49705414,0.808851621,0.836528389,0.943465781,0.936748317,0.963242979,0.308105992,0.451211819,0.625521951,0.644209221,0.898673349,0.958396034
8,2003,1/1/2003,0.682906625,0.694710875,0.705622044,2354,,0.64672827,0.642884021,0.656460467,0.728736916,0.442974829,0.709018161,0.603358146,0.60158878,0.69652222,0.715228156,0.737062147,0.660949388,0.497025186,0.712784094,0.809607108,0.858410749,0.849173806,0.874068238,0.853811671,0.861925637,0.836231936,0.892708281,0.663712727,0.864285289,0.848562259,0.823533401,0.870534596,0.865219448,0.895335258,0.846863864,0.729645256,0.877376973,0.949295357,0.910497178,0.911847747,0.920824991,0.897095825,0.902607535,0.88813057,0.929915037,0.778489514,0.908712569,0.89913542,0.879488468,0.915080191,0.919526563,0.934853463,0.905802666,0.831283106,0.919483168,0.971812681,HS,0.640189837,0.727163781,0.65461282,0.674065343,0.595122792,0.589034058,0.61118426,0.725041303,0.743524009,0.713669362,0.714616352,0.711394045,0.683152519,0.448916969,0.648653404,0.78071737,0.435816128,0.752766439,0.409872775,0.624644116,0.787116985,0.536958742,0.82226168,0.845320406,0.454101172,0.844419392,0.451867275,0.46102765,0.45138035,0.441781594,0.474457138,0.801071531,0.841432451,0.937293297,0.931239068,0.95388158,0.302839675,0.434353091,0.624572685,0.629341055,0.896733719,0.963828186
9,2004,1/1/2004,0.675517915,0.67851332,0.698484551,2354,,0.650088626,0.645382536,0.661736095,0.722820472,0.423084367,0.701864936,0.601103921,0.593298603,0.68880605,0.701585635,0.748460886,0.656111601,0.484077454,0.703295799,0.811988863,0.856377381,0.845591974,0.870735132,0.855291439,0.863985165,0.836483537,0.892170099,0.668239734,0.849844789,0.840152861,0.821456894,0.870061168,0.865141127,0.885905668,0.843027491,0.722446012,0.87882377,0.951147105,0.906164358,0.90474205,0.918036793,0.895088041,0.902758285,0.882627544,0.926664551,0.78015453,0.898378696,0.893442608,0.871585761,0.912512016,0.916340269,0.927512673,0.900709401,0.821699842,0.915881933,0.972788794,HS,0.635848779,0.716002776,0.653429771,0.659934444,0.598939886,0.589610238,0.623508137,0.696719709,0.744308043,0.715377231,0.71949271,0.705945281,0.678521294,0.430226802,0.655042759,0.772015862,0.414816973,0.738192058,0.397108807,0.615542263,0.793180494,0.5230131,0.810124171,0.841850068,0.445507657,0.837072523,0.43241615,0.447920826,0.451208477,0.43475232,0.488677726,0.781314673,0.839637259,0.938416914,0.933101508,0.953346419,0.277556724,0.428598304,0.625821437,0.618988085,0.890091432,0.961758352
10,2005,1/1/2005,0.664308225,0.665370836,0.684935808,2354,,0.643321436,0.637504658,0.657782288,0.710127926,0.418138301,0.693295382,0.593876181,0.580748102,0.682755518,0.690089848,0.706142929,0.648903904,0.470043135,0.693921574,0.802007316,0.850983488,0.839031603,0.864282743,0.852473744,0.860414882,0.836439266,0.884934569,0.660943536,0.853133683,0.827975301,0.812844383,0.865484681,0.861937385,0.874718628,0.837992825,0.716518991,0.87002833,0.951086896,0.902284004,0.901691695,0.915035087,0.888755389,0.896372553,0.876123637,0.924612799,0.764918739,0.897702532,0.896326458,0.875963508,0.9072178,0.909351143,0.923687511,0.89597872,0.812961872,0.912173474,0.971846072,HS,0.620113631,0.708614865,0.632250836,0.646314298,0.586245521,0.576399742,0.61210177,0.688174701,0.730533615,0.717473809,0.719785873,0.712111036,0.662662226,0.420404513,0.633151056,0.763170754,0.415650929,0.736162315,0.379013339,0.601550004,0.778289576,0.509358011,0.806316406,0.83826767,0.435276209,0.831575999,0.421088502,0.437570115,0.442263008,0.426399178,0.479103549,0.777131895,0.828647832,0.938878826,0.933064045,0.954918238,0.284068144,0.418417446,0.608326801,0.600115242,0.88769055,0.961647824
