,sex,Ideal_Marriage_Age
3,2,25.0
7,2,25.0
8,2,23.0
14,2,25.0
20,2,24.0
23,2,25.0
26,2,28.0
34,2,25.0
39,2,30.0
47,2,25.0
50,2,22.0
54,2,30.0
56,2,20.0
58,2,25.0
60,2,40.0
62,2,25.0
64,2,25.0
67,2,25.0
68,2,24.0
71,2,25.0
76,2,28.0
77,2,35.0
80,2,25.0
89,2,20.0
92,2,20.0
94,2,25.0
95,2,30.0
97,2,25.0
99,2,29.0
102,2,28.0
106,2,25.0
108,2,25.0
112,2,20.0
118,2,25.0
119,2,30.0
121,2,23.0
123,2,20.0
124,2,28.0
128,2,30.0
130,2,21.0
131,2,29.0
143,2,27.0
152,2,25.0
156,2,25.0
158,2,25.0
159,2,30.0
163,2,15.0
169,2,25.0
171,2,30.0
174,2,25.0
179,2,21.0
182,2,18.0
185,2,26.0
189,2,30.0
196,2,22.0
215,2,21.0
218,2,25.0
221,2,32.0
232,2,25.0
238,2,30.0
245,2,28.0
247,2,35.0
249,2,25.0
252,2,25.0
256,2,27.0
263,2,25.0
265,2,25.0
266,2,32.0
275,2,25.0
281,2,25.0
287,2,28.0
289,2,33.0
291,2,30.0
298,2,25.0
300,2,30.0
303,2,30.0
308,2,27.0
313,2,25.0
314,2,25.0
319,2,27.0
326,2,30.0
328,2,21.0
329,2,25.0
331,2,30.0
339,2,26.0
345,2,22.0
354,2,15.0
364,2,25.0
367,2,26.0
370,2,20.0
372,2,27.0
381,2,28.0
383,2,25.0
385,2,30.0
386,2,27.0
389,2,25.0
391,2,25.0
395,2,35.0
399,2,25.0
401,2,30.0
404,2,30.0
408,2,20.0
427,2,25.0
429,2,25.0
431,2,24.0
432,2,21.0
435,2,25.0
437,2,30.0
443,2,25.0
444,2,25.0
447,2,26.0
451,2,21.0
455,2,40.0
459,2,26.0
462,2,30.0
470,2,25.0
478,2,27.0
486,2,30.0
488,2,30.0
495,2,20.0
498,2,21.0
499,2,28.0
503,2,30.0
508,2,21.0
511,2,25.0
514,2,27.0
519,2,35.0
528,2,25.0
541,2,32.0
546,2,30.0
549,2,25.0
550,2,27.0
551,2,25.0
553,2,25.0
557,2,21.0
558,2,28.0
559,2,30.0
562,2,27.0
563,2,24.0
566,2,30.0
573,2,30.0
583,2,23.0
588,2,24.0
591,2,26.0
595,2,25.0
598,2,26.0
603,2,23.0
612,2,28.0
616,2,28.0
634,2,25.0
636,2,30.0
637,2,30.0
639,2,28.0
640,2,26.0
642,2,25.0
649,2,18.0
652,2,30.0
657,2,25.0
661,2,23.0
662,2,25.0
664,2,25.0
667,2,30.0
681,2,25.0
683,2,21.0
687,2,25.0
688,2,28.0
691,2,28.0
703,2,30.0
706,2,21.0
712,2,30.0
714,2,30.0
721,2,27.0
722,2,23.0
724,2,25.0
727,2,28.0
732,2,25.0
737,2,27.0
745,2,25.0
747,2,26.0
749,2,32.0
751,2,21.0
752,2,23.0
754,2,25.0
755,2,25.0
759,2,22.0
766,2,30.0
768,2,25.0
783,2,30.0
786,2,25.0
792,2,26.0
794,2,28.0
797,2,27.0
805,2,25.0
809,2,25.0
811,2,23.0
815,2,24.0
819,2,25.0
821,2,25.0
829,2,25.0
831,2,23.0
836,2,20.0
839,2,25.0
840,2,27.0
844,2,25.0
845,2,25.0
847,2,18.0
850,2,25.0
852,2,33.0
855,2,30.0
858,2,25.0
864,2,26.0
869,2,35.0
870,2,24.0
872,2,25.0
875,2,27.0
877,2,37.0
882,2,30.0
887,2,20.0
890,2,30.0
894,2,23.0
897,2,28.0
900,2,25.0
904,2,23.0
914,2,30.0
920,2,28.0
926,2,25.0
928,2,27.0
950,2,21.0
955,2,30.0
960,2,32.0
967,2,22.0
971,2,27.0
973,2,22.0
989,2,30.0
995,2,27.0
996,2,27.0
1003,2,26.0
1004,2,25.0
1012,2,20.0
1015,2,25.0
1019,2,23.0
1020,2,30.0
1021,2,35.0
1022,2,24.0
1024,2,25.0
1026,2,25.0
1028,2,25.0
1032,2,22.0
1034,2,21.0
1038,2,25.0
1041,2,18.0
1042,2,24.0
1049,2,30.0
1051,2,24.0
1053,2,23.0
1054,2,31.0
1055,2,29.0
1056,2,21.0
1063,2,20.0
1064,2,35.0
1067,2,25.0
1069,2,27.0
1073,2,25.0
1079,2,25.0
1082,2,25.0
1086,2,50.0
1093,2,25.0
1102,2,25.0
1106,2,21.0
1108,2,25.0
1112,2,25.0
1117,2,30.0
1119,2,30.0
1129,2,27.0
1131,2,23.0
1133,2,25.0
1135,2,30.0
1139,2,18.0
1144,2,28.0
1148,2,35.0
1150,2,28.0
1153,2,27.0
1155,2,24.0
1157,2,25.0
1160,2,28.0
1172,2,31.0
1189,2,25.0
1194,2,27.0
1200,2,26.0
1202,2,32.0
1211,2,25.0
1217,2,24.0
1219,2,22.0
