,sex,Ideal_Marriage_Age
2,1,24.0
6,1,25.0
13,1,30.0
16,1,30.0
22,1,30.0
24,1,32.0
40,1,25.0
44,1,32.0
45,1,27.0
46,1,28.0
63,1,25.0
65,1,25.0
66,1,25.0
87,1,30.0
96,1,22.0
100,1,24.0
104,1,28.0
105,1,23.0
107,1,20.0
113,1,24.0
115,1,18.0
117,1,23.0
125,1,17.0
127,1,25.0
134,1,25.0
137,1,30.0
141,1,28.0
142,1,30.0
148,1,24.0
151,1,25.0
155,1,32.0
157,1,25.0
162,1,30.0
166,1,25.0
170,1,38.0
180,1,22.0
181,1,24.0
186,1,27.0
191,1,20.0
199,1,26.0
202,1,25.0
203,1,28.0
205,1,23.0
210,1,32.0
213,1,15.0
216,1,25.0
220,1,21.0
229,1,30.0
233,1,27.0
258,1,35.0
259,1,30.0
260,1,35.0
264,1,30.0
277,1,25.0
286,1,25.0
288,1,23.0
296,1,30.0
304,1,35.0
306,1,27.0
318,1,23.0
322,1,30.0
330,1,50.0
336,1,23.0
340,1,21.0
343,1,30.0
348,1,21.0
355,1,30.0
356,1,24.0
357,1,28.0
358,1,21.0
369,1,25.0
373,1,25.0
376,1,50.0
392,1,27.0
403,1,28.0
412,1,25.0
417,1,24.0
418,1,27.0
428,1,33.0
433,1,28.0
439,1,27.0
460,1,25.0
464,1,25.0
471,1,30.0
476,1,20.0
479,1,25.0
483,1,27.0
489,1,25.0
490,1,27.0
494,1,30.0
502,1,30.0
506,1,35.0
507,1,25.0
513,1,25.0
520,1,24.0
522,1,24.0
524,1,25.0
526,1,25.0
531,1,30.0
532,1,25.0
535,1,25.0
539,1,27.0
545,1,25.0
552,1,25.0
569,1,25.0
570,1,27.0
571,1,40.0
592,1,25.0
596,1,24.0
597,1,25.0
599,1,21.0
602,1,28.0
604,1,25.0
615,1,40.0
620,1,21.0
622,1,15.0
625,1,25.0
626,1,25.0
629,1,21.0
635,1,18.0
641,1,33.0
672,1,25.0
678,1,26.0
697,1,25.0
698,1,27.0
702,1,30.0
707,1,30.0
709,1,26.0
711,1,26.0
717,1,35.0
723,1,25.0
725,1,25.0
726,1,24.0
736,1,25.0
738,1,50.0
741,1,25.0
743,1,30.0
744,1,25.0
748,1,25.0
757,1,25.0
758,1,25.0
760,1,30.0
772,1,28.0
779,1,20.0
780,1,26.0
787,1,25.0
790,1,28.0
791,1,22.0
793,1,30.0
796,1,25.0
798,1,30.0
807,1,25.0
810,1,30.0
820,1,30.0
826,1,28.0
833,1,40.0
834,1,28.0
843,1,25.0
849,1,27.0
861,1,25.0
867,1,27.0
871,1,30.0
876,1,25.0
879,1,30.0
891,1,25.0
896,1,25.0
903,1,40.0
905,1,25.0
908,1,23.0
910,1,21.0
912,1,31.0
917,1,25.0
922,1,21.0
932,1,30.0
933,1,25.0
945,1,35.0
949,1,25.0
951,1,20.0
954,1,25.0
956,1,26.0
959,1,25.0
962,1,25.0
966,1,23.0
977,1,27.0
981,1,28.0
982,1,21.0
984,1,25.0
986,1,24.0
987,1,30.0
998,1,25.0
1002,1,30.0
1007,1,23.0
1014,1,25.0
1036,1,21.0
1040,1,31.0
1060,1,40.0
1062,1,25.0
1071,1,27.0
1072,1,25.0
1075,1,35.0
1078,1,30.0
1080,1,28.0
1083,1,35.0
1085,1,25.0
1089,1,25.0
1092,1,30.0
1095,1,22.0
1097,1,35.0
1099,1,32.0
1107,1,25.0
1109,1,25.0
1111,1,30.0
1113,1,26.0
1118,1,32.0
1136,1,25.0
1143,1,29.0
1147,1,21.0
1154,1,18.0
1162,1,26.0
1168,1,28.0
1179,1,30.0
1181,1,40.0
1185,1,24.0
1188,1,25.0
1199,1,30.0
1201,1,30.0
1203,1,25.0
1205,1,25.0
1213,1,35.0
1216,1,22.0
1222,1,22.0
1225,1,26.0
1229,1,32.0
1231,1,22.0
1238,1,30.0
1241,1,30.0
1245,1,25.0
1247,1,25.0
1248,1,30.0
1262,1,25.0
1265,1,27.0
1273,1,28.0
1274,1,25.0
1281,1,25.0
1286,1,30.0
1289,1,30.0
1290,1,30.0
1304,1,30.0
1308,1,44.0
1309,1,30.0
1312,1,21.0
1315,1,32.0
1317,1,25.0
1318,1,30.0
1324,1,28.0
1326,1,25.0
1328,1,40.0
1333,1,25.0
1336,1,25.0
1339,1,40.0
1346,1,24.0
1351,1,29.0
1359,1,27.0
1360,1,30.0
1363,1,28.0
1365,1,27.0
1370,1,25.0
1378,1,30.0
1388,1,28.0
1396,1,35.0
1399,1,25.0
1402,1,27.0
1408,1,25.0
1409,1,25.0
1418,1,30.0
1426,1,30.0
1432,1,25.0
1439,1,23.0
1451,1,25.0
1453,1,24.0
1457,1,27.0
1462,1,30.0
1471,1,31.0
1472,1,25.0
1474,1,22.0
1476,1,27.0
1479,1,45.0
1485,1,23.0
1486,1,25.0
1493,1,21.0
1494,1,25.0
1498,1,24.0
1501,1,30.0
1505,1,32.0
1511,1,25.0
1520,1,23.0
1527,1,25.0
1534,1,19.0
1540,1,30.0
1546,1,30.0
1550,1,33.0
1556,1,27.0
1565,1,28.0
1567,1,36.0
1579,1,30.0
1587,1,28.0
1596,1,30.0
1604,1,30.0
1608,1,29.0
1609,1,25.0
1616,1,25.0
1622,1,25.0
1624,1,21.0
1628,1,25.0
1630,1,27.0
1634,1,30.0
1641,1,25.0
1649,1,22.0
1653,1,29.0
1665,1,30.0
1668,1,24.0
1670,1,27.0
1677,1,40.0
1697,1,30.0
1707,1,25.0
1710,1,27.0
1714,1,30.0
1723,1,32.0
1728,1,30.0
1734,1,21.0
1738,1,30.0
1741,1,25.0
1747,1,25.0
1755,1,25.0
1757,1,26.0
1764,1,42.0
1773,1,22.0
1774,1,22.0
1775,1,30.0
1779,1,30.0
1780,1,27.0
1789,1,30.0
1791,1,19.0
1804,1,28.0
1808,1,25.0
1810,1,30.0
1816,1,22.0
1818,1,25.0
1835,1,25.0
1837,1,25.0
1841,1,25.0
1842,1,25.0
1849,1,30.0
1855,1,23.0
1861,1,30.0
1863,1,20.0
1865,1,25.0
1872,1,25.0
1877,1,25.0
1882,1,25.0
1903,1,25.0
1904,1,25.0
1905,1,20.0
1906,1,25.0
1911,1,25.0
1915,1,40.0
1918,1,25.0
1925,1,25.0
1926,1,25.0
1930,1,25.0
1931,1,18.0
1941,1,26.0
1945,1,27.0
1949,1,30.0
1955,1,28.0
1971,1,25.0
1974,1,22.0
1981,1,25.0
1987,1,31.0
1994,1,24.0
1995,1,25.0
1997,1,29.0
2003,1,19.0
2004,1,28.0
2011,1,25.0
2013,1,30.0
