,psraid,int_date,area,tz,cregion,state,fips,msa,usr,usr1,strata,lang,sample,form,samptype,spouse,qs1,qs2,qs3a,qs3b,sex,marital,m2,m3,m4,lwp2,lwp3,kids,k2,k3,mom,dad,e3,q1,q2a,q2b,q2c,q2d,q2e,q2f,q2g,q2h,q2i,q3,q4a,q4b,q4c,q4d,q4e,q4f,q4g,q4h,q4i,q6,q7f1,q8f2,q11,q12,q14,q15a,q15b,q15c,q15d,q15e,q15f,q15g,q15h,q15i,q16,q17,q20,q20vb,q20_1,q20_2,q20_3,q23,q23vb,q23_1,q23_2,q23_3,q24,q27,q28,q29,q30f1,q31f2,q32,q33,q34,q35,q36,q36vb,q36_1,q36_2,q36_3,q37,q38,q39,q40,q41,q41vb,q41_1,q41_2,q41_3,q42,q43,q44f1,q45,q46f2,q47,net1,net2,e1,e2,ideal,e5,fam1,fam2,fam3,fam4,k4,k5,ownrent,citizen,usborn1a,usborn1b,usborn2,age,educ,hisp,race,relig,chr,born,attend,income,regist,regicert,party,partyln,ideo,pvote04a,milnow,veteran,contact,name,website,usbrn1bo,raceos,religos,q2cnt,recage2,recage3,q3new,gen,netsum,milvet,military,density3,rbcounty,receduc,racethn,weight
1,4,21607,631,e,1,36,36103,35620,S,2,4,1,6,2,2,2,1,NA,NA,NA,2,1,NA,2,NA,2,NA,4,1,9,2,1,1,2,7,NA,9,9,7,NA,5,5,8,99,2,3,3,3,3,3,1,3,3,9,NA,1,2,2,9,1,2,2,2,3,3,3,2,2,2,2,1,"CAUSE I BELIVED IN MARRIGAGE AND CHILDREN, BUT FOR MYSELF, NOT FOR SOCIETY",14,NA,NA,NA,                                ,NA,NA,NA,NA,NA,NA,NA,NA,30,9,2,9,2,1,KEEPING THEM SAFE BUYT NOT SHELTERING THEM,31,98,NA,8,9,2,1,1,THE MORE YOU TELL THEM NOT TO THATS WHAT YOU DO,98,NA,NA,2,3,NA,2,1,1,2,2,3,3,2,1,1,1,2,3,16,NA,1,1,1,NA,2,49,6,2,1,9,2,NA,4,4,1,1,2,NA,4,1,7,7,2,NA,2,                                ,                                ,                                ,2,2,1,99,2,2,2,99,4,2,4,1,1
2,5,21607,301,e,3,24,24033,47900,S,2,6,1,4,1,1,1,NA,NA,NA,NA,1,1,NA,2,NA,1,1,3,NA,1,1,2,1,2,10,NA,NA,10,8,9,NA,8,7,1,2,3,3,2,3,2,3,1,3,1,1,NA,3,2,1,2,2,3,2,3,2,1,3,2,2,2,1,TO MAKE A COMMITMENT,10,NA,NA,1,TO SEE IF WE WERE COMPATIBLE,12,NA,NA,2,NA,NA,NA,26,NA,2,2,3,2,1,DRUGS,29,NA,NA,8,3,3,2,1,LACK OF PROPER UP BRINGING RAISING,18,NA,NA,4,3,2,3,NA,1,1,1,3,3,3,3,1,1,2,2,NA,NA,1,1,2,82,2,56,5,2,1,1,NA,2,5,7,1,1,2,NA,3,1,7,7,1,1,1,GERMANY,                                ,                                ,3,3,2,1,1,1,2,99,4,1,3,1,2.5
3,6,21807,401,e,1,44,44007,39300,S,2,1,1,3,2,1,1,NA,NA,NA,NA,1,1,NA,2,NA,2,NA,3,NA,2,2,2,9,2,10,NA,NA,10,NA,NA,NA,10,8,99,2,2,1,2,2,2,1,1,3,1,NA,1,2,2,2,2,1,3,1,3,1,1,3,1,2,2,1,THE WAY HE WAS BROUGHT UP,14,NA,NA,NA,                                ,NA,NA,NA,NA,NA,NA,NA,NA,24,1,1,2,1,1,DISCIPLINE,27,NA,NA,10,3,3,1,1,ALOT OF THINGS DOESNT MEANA NYTHING TO THEM,98,NA,NA,4,2,NA,9,2,2,2,2,1,3,3,9,1,1,2,1,NA,NA,1,1,1,NA,2,82,3,2,1,1,NA,2,5,4,1,1,2,NA,4,1,9,1,1,1,2,                                ,                                ,                                ,3,4,2,99,2,2,9,99,4,1,2,1,18.1875
4,7,21607,330,e,2,39,39099,49660,U,1,6,1,1,1,1,NA,NA,NA,NA,NA,2,3,NA,2,NA,2,NA,4,1,2,1,2,1,2,NA,NA,10,10,8,10,NA,8,8,3,1,3,3,1,1,3,1,3,3,2,1,NA,3,2,1,1,2,2,2,3,1,1,1,2,2,2,1,TIME - IT WAS ABOUT 25 YEARS AND IT WASNT ANY OTHER CHOICES,12,NA,NA,NA,                                ,NA,NA,NA,NA,NA,NA,NA,25,NA,1,2,3,3,1,KEEPING THEM SAFE; MAKE SURE THEY ARE WELL BALANCED MENTALLY AND PHYSICALLY AND WELL ADJUSTED,31,98,NA,8,2,2,1,1,A LOT OF FATHER ARENT TAKING RESPONSIBILITY WITH KIDS; YOUNG TEENAGERS HAVING CHILDREN,13,20,NA,4,3,9,2,NA,2,1,1,3,3,2,NA,1,1,2,3,17,NA,1,1,1,NA,1,51,6,2,1,1,NA,2,4,5,1,1,2,NA,3,1,7,7,2,NA,1,                                ,                                ,                                ,3,3,2,3,3,1,2,99,3,1,4,1,1.75
5,8,21607,305,e,3,12,12086,33100,S,2,5,1,4,2,1,NA,NA,NA,NA,NA,2,2,2,NA,NA,NA,NA,1,NA,NA,1,1,2,2,NA,9,NA,NA,7,4,4,5,10,9,2,1,3,3,1,1,1,1,1,2,NA,1,4,4,9,1,2,1,2,1,1,1,3,1,2,2,NA,                                ,NA,NA,NA,1,TO GET TO KNOW EACH OTHE RMORE,13,NA,NA,2,NA,1,2,NA,40,2,2,2,3,1,INFULENCE OF SOCIETY AND MEDIA,34,36,NA,NA,2,2,2,1,MEN UNWILLING TO MARYR THEM,13,NA,NA,4,4,NA,1,1,1,1,1,3,2,2,NA,1,1,2,3,NA,NA,1,1,1,NA,2,30,7,2,1,8,NA,NA,6,7,1,1,3,2,5,1,7,7,1,1,2,                                ,                                ,                                ,2,2,1,9,2,1,2,99,4,2,4,1,4.5625
6,9,21907,843,e,3,45,45041,22500,S,2,6,1,4,1,1,NA,NA,NA,NA,NA,1,5,NA,2,NA,2,NA,4,2,2,2,2,3,1,NA,NA,10,10,NA,NA,NA,10,10,3,9,2,2,2,9,2,2,3,2,1,2,NA,1,1,9,9,1,1,1,3,1,1,1,9,2,1,1,I WAS IN LOVE,16,NA,NA,NA,                                ,NA,NA,NA,NA,NA,NA,NA,99,NA,2,2,2,1,1,KEEP THEM OUT THE STREETS,33,NA,NA,10,2,3,1,9,                                ,99,NA,NA,3,3,3,4,NA,2,2,2,1,3,2,NA,1,1,2,2,15,NA,1,1,1,NA,1,83,2,2,2,1,NA,9,1,10,1,1,2,NA,9,1,1,1,1,1,2,                                ,                                ,                                ,4,4,2,3,3,2,1,1,2,4,1,2,3.5625
7,12,21807,540,e,3,51,51171,0,R,3,1,1,2,2,1,1,NA,NA,NA,NA,1,1,NA,1,1,1,9,2,2,NA,2,2,3,1,10,NA,99,NA,NA,NA,NA,7,8,NA,3,3,2,2,1,1,3,1,1,1,NA,1,3,3,1,1,1,3,1,3,1,2,1,2,1,3,1,ALOT OF LEGAITIES,23,NA,NA,1,WERENRT SURE,12,NA,NA,1,NA,NA,NA,NA,25,3,3,2,2,1,DISCIPLINE,27,NA,NA,7,2,2,1,9,                                ,99,NA,NA,4,3,NA,1,1,2,1,1,1,3,2,2,1,1,2,3,99,2,1,1,1,NA,1,66,6,2,1,8,NA,NA,6,6,1,1,3,1,3,1,7,1,2,NA,2,                                ,                                ,                                ,1,4,2,1,3,1,1,2,1,5,4,1,5.875
8,13,21607,423,e,3,47,47179,27740,U,1,1,1,3,1,1,2,NA,NA,NA,NA,2,1,NA,1,2,2,NA,1,NA,NA,2,2,1,1,10,NA,NA,NA,9,NA,NA,10,8,1,2,2,1,2,2,2,2,3,2,1,1,NA,1,1,1,1,2,1,2,2,2,2,3,1,2,2,1,BECAUSE I LOVED HIM,16,NA,NA,NA,                                ,NA,NA,NA,NA,NA,NA,NA,25,NA,2,2,2,1,1,DISCIPLINE,27,NA,NA,NA,3,3,1,1,MORALS,18,NA,NA,1,1,4,4,NA,3,1,1,3,3,1,2,1,1,2,3,NA,NA,1,1,1,NA,1,63,6,2,1,1,NA,1,1,6,1,1,1,NA,2,1,7,7,1,1,1,                                ,                                ,                                ,3,3,2,1,3,1,2,99,3,5,4,1,10.75
9,15,21607,765,e,2,18,18177,0,R,3,1,1,2,1,1,NA,NA,NA,NA,NA,2,3,NA,2,NA,2,NA,3,NA,2,1,1,1,1,NA,NA,NA,9,8,8,6,9,5,8,2,9,9,2,2,2,1,1,2,1,1,NA,1,1,1,1,2,1,1,2,1,1,2,2,1,1,1,I BELIEVE THAT WAS GODS PLAN,13,NA,NA,NA,                                ,NA,NA,NA,NA,NA,NA,NA,23,NA,3,2,3,2,1,QUALITY TIME,15,NA,NA,8,3,3,1,1,LACK OF RESPONSIBILITY ON THE PART OF THE FATHERS,13,NA,NA,1,1,3,4,NA,3,1,1,3,3,2,NA,1,1,2,3,NA,NA,1,1,1,NA,1,55,7,2,1,1,NA,1,1,6,1,1,3,2,2,1,7,7,1,1,1,                                ,                                ,                                ,2,3,2,8,3,1,2,99,2,4,4,1,10.1875
10,16,21607,423,e,3,47,47179,27740,U,1,1,1,1,2,1,NA,NA,NA,NA,NA,2,5,NA,2,NA,2,NA,3,NA,1,1,1,3,2,NA,NA,NA,10,NA,0,0,9,8,4,3,3,3,2,2,3,1,3,3,1,NA,2,2,1,1,1,1,2,1,3,1,1,2,1,2,2,1,GENERATION,12,NA,NA,NA,                                ,NA,NA,NA,NA,NA,NA,NA,NA,33,2,2,3,2,1,MONEY,13,NA,NA,5,2,2,1,1,NEED OF BETTER IN SCHOOLS OF SEX AND CONTRACEPTIVES NEED TO BE MORE EASILY OBTAINED WITH OUT PARENT CONSENT,19,NA,NA,4,2,NA,1,1,1,1,1,1,2,2,NA,1,1,2,3,NA,NA,1,1,1,NA,1,50,3,2,1,1,NA,1,5,1,1,1,3,2,4,1,7,7,1,1,2,                                ,                                ,                                ,2,3,2,4,3,1,2,99,3,5,2,1,16.9375
